UID,Inf,Name,DoB,Nat,Division,Club,Based,Preferred Foot,Right Foot,Left Foot,Position,Height,Weight,Age,Transfer Value,Wage,AT Apps,AT Gls,Team,Caps,Yth Apps,Style,Rc Injury,Best Role,Best Duty,Best Pos,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Com,Cmp,Cnt,Cor,Cro,Dec,Det,Dri,Ecc,Fin,Fir,Fla,Fre,Han,Hea,Jum,Kic,Ldr,Lon,L Th,Mar,Nat .1,OtB,1v1,Pac,Pas,Pen,Pos,Pun,Ref,TRO,Sta,Str,Tck,Tea,Tec,Thr,Vis,Wor,Name_Norm
71099020,     , Emmanuel Dennis              , 15/11/1997 (24 years old) , NGA , English Premier Division                          , Nottm Forest           , England (Premier Division)            , Right Only     , Very Strong   , Weak          ," M (R), AM (RL)                   ", 175 cm , 66 kg  ,24, 鈧?4.5M - 鈧?2M   ," 鈧?01,000 p/m   ",151,35,      ,7, -        , Physical     , -                          , Winger                  , Attack    , AM (R)   ,18,3,14,15,12,12,16,2,2,14,10,9,12,9,12,14,3,13,13,14,9,3,9,7,1,8,10,5,6,13,10,2,18,12,14,5,2,1,1,13,13,8,10,14,4,7,10, Emmanuel Dennis              
28059634,     , Jamaal Lascelles             , 11/11/1993 (28 years old) , ENG , English Premier Division                          , Newcastle              , England (Premier Division)            , Right          , Very Strong   , Fairly Strong , D (C)                            , 188 cm , 89 kg  ,28, 鈧?00K - 鈧?.6M   ," 鈧?76,000 p/m   ",260,16,      ,0,2, Leader       , -                          , Central Defender        , Defend    , D (C)    ,11,3,15,10,13,11,15,3,2,11,11,3,4,12,14,8,3,5,10,4,3,4,15,15,3,17,3,3,14,16,8,4,13,10,3,12,3,2,3,14,16,15,15,10,1,4,15, Jamaal Lascelles             
37053643,     , Gianluca Scamacca            , 1/1/1999 (23 years old)   , ITA , English Premier Division                          , West Ham               , England (Premier Division)            , Right          , Very Strong   , Fairly Strong , ST (C)                           , 195 cm , 85 kg  ,23, 鈧?2M - 鈧?2M     ," 鈧?52,000 p/m   ",124,35, Main ,7,15, Leader       , -                          , Complete Forward        , Attack    , ST (C)   ,11,3,14,12,14,16,14,3,1,13,13,4,5,13,16,11,2,17,14,16,13,1,16,16,2,12,16,4,4,15,15,2,13,12,12,4,3,1,2,14,16,5,14,14,1,12,14, Gianluca Scamacca            
67141802,     , Javi Manquillo               , 5/5/1994 (28 years old)   , ESP , English Premier Division                          , Newcastle              , England (Premier Division)            , Right Only     , Very Strong   , Weak          ," D (RL), WB (R)                   ", 178 cm , 76 kg  ,28, 鈧?00K - 鈧?.6M   ," 鈧?01,000 p/m   ",201,2,      ,0,7, Intelligent  , -                          , Full-Back               , Support   , D (R)    ,13,2,13,14,13,9,13,2,3,12,14,5,12,13,16,11,2,5,12,11,7,3,11,11,1,9,8,12,13,12,13,1,15,11,6,14,3,1,1,15,12,14,15,12,1,9,15, Javi Manquillo               
93031462, Inj , Emil Krafth                  , 2/8/1994 (27 years old)   , SWE , English Premier Division                          , Newcastle              , England (Premier Division)            , Right          , Very Strong   , Weak          , D/WB (R)                         , 184 cm , 83 kg  ,27, 鈧?75K - 鈧?.6M   ," 鈧?76,000 p/m   ",230,5, Main ,42,16, Physical     , -                          , Full-Back               , Attack    , D (R)    ,14,3,11,13,13,15,13,2,3,12,12,8,13,12,13,11,3,7,11,8,9,1,12,12,2,8,10,10,12,12,12,1,15,12,7,13,1,1,2,14,13,13,13,13,3,14,14, Emil Krafth                  
28106874, Inj , Japhet Tanganga              , 31/3/1999 (23 years old)  , ENG , English Premier Division                          , Tottenham              , England (Premier Division)            , Right          , Very Strong   , Reasonable    , D (RC)                           , 186 cm , 83 kg  ,23, 鈧?6M - 鈧?2M     ," 鈧?26,000 p/m   ",23, -      ,      ,0,2, Physical     , -                          , Wide Centre-Back        , Defend    , D (C)    ,13,1,14,13,13,12,15,2,2,13,12,4,10,13,15,9,2,7,12,9,5,3,14,15,3,9,7,12,13,15,13,3,14,10,5,14,1,3,1,15,15,14,13,13,2,10,14, Japhet Tanganga              
37039829, Wnt , Kenny Tete                   , 9/10/1995 (26 years old)  , NED , English Premier Division                          , Fulham                 , England (Premier Division)            , Right          , Very Strong   , Reasonable    , D/WB (R)                         , 180 cm , 71 kg  ,26, 鈧?9M - 鈧?5M     ," 鈧?76,000 p/m   ",182,7,      ,13,2, Physical     , -                          , Full-Back               , Attack    , D (R)    ,15,1,13,11,13,14,15,2,3,12,11,7,16,13,14,10,3,7,12,9,7,3,12,12,3,8,10,12,14,14,11,1,14,12,7,14,1,3,1,15,14,15,14,12,1,10,15, Kenny Tete                   
67006173,     , Adrián                       , 3/1/1987 (35 years old)   , ESP , English Premier Division                          , Liverpool              , England (Premier Division)            , Right Only     , Very Strong   , Weak          , GK                               , 190 cm , 80 kg  ,35, 鈧?M - 鈧?.1M     ," 鈧?02,000 p/m   ",232, -      ,      ,0, -        , Shot Stopper , -                          , Sweeper Keeper          , Support   , GK       ,11,13,13,14,13,13,14,13,16,11,12,5,2,13,15,1,15,2,13,1,7,13,2,13,12,11,2,2,1,14,2,13,11,12,3,13,15,14,12,11,13,3,10,10,13,7,10, Adrian                       
28044979,     , Jack Butland                 , 10/3/1993 (29 years old)  , ENG , English Premier Division                          , Crystal Palace         , England (Premier Division)            , Right          , Very Strong   , Reasonable    , GK                               , 196 cm , 85 kg  ,29, 鈧?40K - 鈧?.4M   ," 鈧?01,000 p/m   ",272, -      ,      ,9,28, Shot Stopper , -                          , Sweeper Keeper          , Attack    , GK       ,12,15,10,16,12,12,14,12,7,14,12,1,1,7,10,2,11,2,6,3,1,15,6,18,11,10,2,2,2,12,2,16,10,9,3,13,8,16,11,14,13,2,12,10,12,5,12, Jack Butland                 
28115792,     , Neco Williams                , 13/4/2001 (21 years old)  , WAL , English Premier Division                          , Nottm Forest           , England (Premier Division)            , Right          , Very Strong   , Weak          , D/WB/AM (R)                      , 183 cm , 77 kg  ,21, 鈧?6M - 鈧?9M     ," 鈧?01,000 p/m   ",27,2, Main ,21, -        , Technical    , -                          , Complete Wing-Back      , Support   , WB (R)   ,14,1,12,14,11,13,12,2,3,13,10,8,16,14,14,13,3,11,14,11,7,1,11,11,4,6,12,10,11,15,11,2,14,12,6,11,2,2,3,14,11,13,14,13,2,12,14, Neco Williams                
24039427,     , Duje Ćaleta-Car              , 17/9/1996 (25 years old)  , CRO , English Premier Division                          , Southampton            , England (Premier Division)            , Right          , Very Strong   , Reasonable    , D (C)                            , 192 cm , 89 kg  ,25, 鈧?9.5M - 鈧?4M   ," 鈧?51,000 p/m   ",238,12, Main ,23,17, Physical     , -                          , Ball Playing Defender   , Defend    , D (C)    ,11,2,14,11,15,15,13,2,3,12,13,5,5,12,15,8,3,7,13,10,8,1,15,15,2,11,10,8,14,14,8,1,12,14,8,14,3,1,1,14,16,14,14,9,4,12,14, Duje Caleta-Car              
68008625,     , Pontus Jansson               , 13/2/1991 (31 years old)  , SWE , English Premier Division                          , Brentford              , England (Premier Division)            , Right          , Very Strong   , Weak          , D (C)                            , 194 cm , 89 kg  ,31, 鈧?4.5M - 鈧?7.5M ," 鈧?01,000 p/m   ",331,21,      ,27,15, Leader       , -                          , Ball Playing Defender   , Stopper   , D (C)    ,12,3,16,10,14,14,18,2,4,13,11,2,6,13,17,11,4,6,12,9,2,3,14,17,3,15,5,8,14,14,6,2,12,12,4,14,4,1,3,14,15,15,13,13,3,11,14, Pontus Jansson               
91143519,     , Vitaly Janelt                , 10/5/1998 (24 years old)  , GER , English Premier Division                          , Brentford              , England (Premier Division)            , Left           , Reasonable    , Very Strong   ," DM, M (C)                        ", 184 cm , 79 kg  ,24, 鈧?1M - 鈧?6M     ," 鈧?01,000 p/m   ",131,9,      ,0,9, Leader       , -                          , Ball Winning Midfielder , Support   , DM       ,12,1,16,12,14,14,16,2,2,13,14,10,12,12,15,13,2,12,13,8,9,3,12,12,4,12,13,12,12,16,11,2,12,14,8,12,1,1,2,15,14,14,15,13,1,13,15, Vitaly Janelt                
85140175,     , Yoane Wissa                  , 3/9/1996 (25 years old)   , COD , English Premier Division                          , Brentford              , England (Premier Division)            , Right Only     , Very Strong   , Weak          ," M/AM (L), ST (C)                 ", 176 cm , 74 kg  ,25, 鈧?.4M - 鈧?2M    ," 鈧?41,000 p/m   ",206,59, Main ,6, -        , Physical     , -                          , Inverted Winger         , Support   , AM (L)   ,15,1,10,14,13,12,12,2,1,12,12,9,12,12,13,13,1,13,12,13,11,2,8,8,2,7,10,6,6,14,14,1,15,13,13,8,3,2,2,14,12,6,13,13,2,13,14, Yoane Wissa                  
20046423,     , Brenden Aaronson             , 22/10/2000 (21 years old) , USA , English Premier Division                          , Leeds                  , England (Premier Division)            , Right          , Very Strong   , Reasonable    , M/AM (C)                         , 176 cm , 66 kg  ,21, 鈧?6M - 鈧?2M     ," 鈧?01,000 p/m   ",121,17, Main ,22, -        , Technical    , -                          , Mezzala                 , Support   , M (C)    ,16,3,12,15,12,13,13,3,2,12,11,11,12,12,11,14,3,11,13,11,8,3,8,9,1,7,11,6,8,13,11,2,15,14,10,8,2,2,3,14,10,9,13,13,1,13,15, Brenden Aaronson             
27000592,     , Mathias Jørgensen            , 23/4/1990 (32 years old)  , DEN , English Premier Division                          , Brentford              , England (Premier Division)            , Right          , Very Strong   , Fairly Strong , D (C)                            , 191 cm , 79 kg  ,32, 鈧?60K - 鈧?.6M   ," 鈧?08,000 p/m   ",339,20,      ,35,15, Technical    , Hamstring strain           , Ball Playing Defender   , Defend    , D (C)    ,12,1,12,11,13,15,13,1,1,15,9,5,5,11,13,11,2,7,13,10,8,3,13,15,3,14,6,11,13,13,8,4,12,14,7,13,3,1,2,13,14,13,13,13,2,12,12, Mathias Jorgensen            
28019851,     , Nathaniel Clyne              , 5/4/1991 (31 years old)   , ENG , English Premier Division                          , Crystal Palace         , England (Premier Division)            , Right          , Very Strong   , Reasonable    ," D (RL), WB (R)                   ", 175 cm , 67 kg  ,31, 鈧?50K - 鈧?.8M   ," 鈧?52,000 p/m   ",341,5,      ,14,8, Technical    , -                          , Full-Back               , Support   , D (R)    ,13,2,13,13,14,13,14,3,1,13,15,5,11,12,12,10,1,5,13,8,6,2,9,9,2,9,4,11,14,12,12,1,14,12,5,14,1,2,2,15,12,15,15,13,3,10,16, Nathaniel Clyne              
19236273,     , Lyanco                       , 1/2/1997 (25 years old)   , BRA , English Premier Division                          , Southampton            , England (Premier Division)            , Right          , Very Strong   , Reasonable    , D (C)                            , 187 cm , 83 kg  ,25, 鈧?9.5M - 鈧?4M   ," 鈧?51,000 p/m   ",95,2,      ,0,9, Physical     , -                          , Ball Playing Defender   , Defend    , D (C)    ,14,3,14,13,14,14,14,1,2,14,12,4,4,12,18,11,3,7,12,11,6,1,14,14,1,10,5,3,14,16,6,1,15,12,10,13,2,3,2,13,14,14,14,11,2,10,15, Lyanco                       
89038587,     , Kieffer Moore                , 8/8/1992 (29 years old)   , WAL , English Premier Division                          , Bournemouth            , England (Premier Division)            , Right          , Very Strong   , Reasonable    , ST (C)                           , 196 cm , 83 kg  ,29, 鈧?M - 鈧?.6M     ," 鈧?26,000 p/m   ",299,107, Main ,26, -        , Intelligent  , -                          , Target Forward          , Support   , ST (C)   ,11,1,14,8,13,14,14,1,3,13,12,7,10,12,16,11,2,13,13,11,8,2,15,17,4,11,12,9,10,16,14,1,12,11,14,11,1,3,1,13,15,8,14,12,2,11,14, Kieffer Moore                
28117365,     , Luke Thomas                  , 10/6/2001 (21 years old)  , ENG , English Premier Division                          , Leicester              , England (Premier Division)            , Left           , Reasonable    , Very Strong   , D/WB (L)                         , 181 cm , 75 kg  ,21, 鈧?5M - 鈧?2M     ," 鈧?26,000 p/m   ",39,1, U21  ,0,8, Technical    , -                          , Full-Back               , Attack    , D (L)    ,14,2,8,12,13,9,13,3,1,13,12,12,15,13,14,13,3,10,14,7,11,2,12,11,3,10,11,10,13,14,11,2,13,14,9,12,1,3,1,15,10,14,13,13,2,11,16, Luke Thomas                  
83169933, Inj , Chiquinho                    , 5/2/2000 (22 years old)   , POR , English Premier Division                          , Wolves                 , England (Premier Division)            , Right Only     , Very Strong   , Weak          , AM (RL)                          , 179 cm , 72 kg  ,22, 鈧?5M - 鈧?9M     ," 鈧?26,000 p/m   ",44,4,      ,0,1, Technical    , -                          , Winger                  , Support   , AM (R)   ,16,1,15,15,12,11,12,2,2,10,9,10,14,10,13,16,3,12,14,16,7,1,8,10,3,8,11,8,7,14,13,2,14,11,11,6,2,2,2,12,11,11,8,15,3,13,14, Chiquinho                    
151741, Lst , Matt Ritchie                 , 10/9/1989 (32 years old)  , SCO , English Premier Division                          , Newcastle              , England (Premier Division)            , Left           , Weak          , Very Strong   ," WB (L), M/AM (RL)                ", 172 cm , 76 kg  ,32, 鈧?.9M           ," 鈧?26,000 p/m   ",466,90,      ,16, -        , Leader       , -                          , Defensive Winger        , Support   , M (L)    ,11,1,15,11,11,13,15,2,1,12,12,12,15,12,14,11,2,13,12,10,13,3,8,6,2,15,12,5,10,16,11,2,11,13,15,12,2,3,2,13,11,12,15,12,3,12,18, Matt Ritchie                 
89046527,     , Joe Aribo                    , 21/7/1996 (25 years old)  , NGA , English Premier Division                          , Southampton            , England (Premier Division)            , Left Only      , Weak          , Very Strong   ," M (C), AM (RLC)                  ", 188 cm , 74 kg  ,25, 鈧?7M - 鈧?1M     ," 鈧?02,000 p/m   ",196,32, Main ,20, -        , Technical    , -                          , Inside Forward          , Support   , AM (R)   ,11,2,7,14,16,15,6,1,3,15,10,10,11,12,11,16,3,14,19,15,8,1,8,13,1,5,12,6,6,14,14,1,13,13,9,9,3,3,3,14,15,10,11,16,1,14,15, Joe Aribo                    
72021508,     , Tim Ream                     , 5/10/1987 (34 years old)  , USA , English Premier Division                          , Fulham                 , England (Premier Division)            , Left Only      , Weak          , Very Strong   , D (LC)                           , 185 cm , 73 kg  ,34, 鈧?00K - 鈧?.1M   ," 鈧?51,000 p/m   ",421,4, Main ,46, -        , Leader       , -                          , Full-Back               , Support   , D (L)    ,11,3,12,12,13,13,14,3,3,12,13,3,9,12,15,11,2,6,13,10,6,1,12,13,1,17,7,7,13,16,12,1,11,14,3,15,2,1,1,15,14,15,16,13,3,14,15, Tim Ream                     
91157307,     , Deniz Undav                  , 19/7/1996 (25 years old)  , GER , English Premier Division                          , Brighton               , England (Premier Division)            , Right          , Very Strong   , Reasonable    ," AM (RL), ST (C)                  ", 178 cm , 86 kg  ,25, 鈧?.9M - 鈧?.2M   ," 鈧?08,000 p/m   ",218,105,      ,0, -        , Technical    , -                          , Inside Forward          , Attack    , AM (L)   ,13,3,10,12,11,16,16,4,3,13,11,7,9,9,15,13,2,17,13,10,8,2,14,11,2,6,9,4,5,9,13,2,13,10,11,12,3,2,3,13,15,7,12,12,1,12,11, Deniz Undav                  
28106685,     , Josh Dasilva                 , 23/10/1998 (23 years old) , ENG , English Premier Division                          , Brentford              , England (Premier Division)            , Left           , Reasonable    , Very Strong   , M (C)                            , 184 cm , 71 kg  ,23, 鈧?4.5M - 鈧?7M   ," 鈧?76,000 p/m   ",98,16,      ,0,5, Technical    , -                          , Advanced Playmaker      , Support   , M (C)    ,13,1,12,12,14,12,11,1,3,14,13,8,12,13,15,13,2,13,13,14,9,2,10,11,1,9,14,8,11,14,13,1,13,14,10,11,3,2,3,13,13,12,14,13,2,13,13, Josh Dasilva                 
48036809, Wnt , Romain Perraud               , 22/9/1997 (24 years old)  , FRA , English Premier Division                          , Southampton            , England (Premier Division)            , Left           , Weak          , Very Strong   , D/WB (L)                         , 173 cm , 68 kg  ,24, 鈧?3M - 鈧?5.5M   ," 鈧?01,000 p/m   ",109,8,      ,0, -        , Intelligent  , -                          , Full-Back               , Attack    , D (L)    ,13,1,14,14,13,15,14,3,3,13,13,10,14,13,15,12,4,8,12,12,13,2,8,7,2,8,16,8,10,15,15,3,13,12,10,13,1,1,1,15,10,12,14,14,3,13,15, Romain Perraud               
5004726,     , Darren Randolph              , 12/5/1987 (35 years old)  , IRL , English Premier Division                          , West Ham               , England (Premier Division)            , Right          , Very Strong   , Reasonable    , GK                               , 188 cm , 98 kg  ,35, 鈧?20K - 鈧?.6M   ," 鈧?01,000 p/m   ",403, -      , Main ,50,8, Shot Stopper , -                          , Sweeper Keeper          , Support   , GK       ,9,14,10,15,10,15,12,14,13,13,9,3,3,10,15,2,11,3,11,5,5,15,6,15,13,14,1,10,3,12,11,14,9,11,2,14,10,16,11,13,15,5,10,11,11,9,9, Darren Randolph              
61083649,     , Nathan Patterson             , 16/10/2001 (20 years old) , SCO , English Premier Division                          , Everton                , England (Premier Division)            , Right          , Very Strong   , Reasonable    , D/WB (R)                         , 183 cm , 74 kg  ,20, 鈧?3M - 鈧?4M     ," 鈧?01,000 p/m   ",13, -      , Main ,10,4, Physical     , -                          , Full-Back               , Attack    , D (R)    ,15,1,9,11,12,12,10,1,2,13,14,12,13,7,15,11,1,11,12,7,6,1,8,11,2,4,11,10,10,14,13,4,15,12,5,12,1,2,2,17,12,13,13,9,1,14,13, Nathan Patterson             
28122195, Loa , Fábio Carvalho               , 30/8/2002 (19 years old)  , ENG , English Premier Division                          , Liverpool              , England (Premier Division)            , Right          , Very Strong   , Reasonable    ," AM (RLC), ST (C)                 ", 170 cm , 63 kg  ,19, 鈧?2M - 鈧?7M     ," 鈧?51,000 p/m   ",40,11,      ,0, -        , Technical    , -                          , Inverted Winger         , Support   , AM (L)   ,15,3,13,13,14,12,8,4,2,13,11,10,12,12,14,16,2,12,14,15,13,3,7,6,3,4,10,2,7,14,13,1,14,14,10,6,1,3,4,14,7,7,12,15,3,14,13, Fabio Carvalho               
27128917,     , Mikkel Damsgaard             , 3/7/2000 (21 years old)   , DEN , English Premier Division                          , Brentford              , England (Premier Division)            , Either         , Very Strong   , Strong        ," M (RL), AM (RLC)                 ", 180 cm , 71 kg  ,21, 鈧?5M - 鈧?7M     ," 鈧?51,000 p/m   ",130,15, Main ,16,8, Creative     , -                          , Inverted Winger         , Support   , AM (L)   ,15,1,10,15,13,12,11,3,2,11,12,12,13,11,14,15,3,12,13,16,10,1,6,6,2,6,12,4,4,12,15,3,15,15,12,6,1,1,3,12,6,6,11,16,1,16,11, Mikkel Damsgaard             
28027621,     , Shane Duffy                  , 1/1/1992 (30 years old)   , IRL , English Premier Division                          , Fulham                 , England (Premier Division)            , Right          , Very Strong   , Weak          , D (C)                            , 193 cm , 77 kg  ,30, 鈧?M - 鈧?.4M     ," 鈧?76,000 p/m   ",282,19, Main ,55,18, Leader       , Torn knee ligaments        , No-Nonsense Centre-Back , Stopper   , D (C)    ,8,3,15,8,14,8,18,3,1,8,14,3,4,14,17,5,1,7,8,4,5,4,16,18,3,15,6,7,14,14,6,3,9,9,6,15,1,2,1,16,16,16,14,8,2,7,15, Shane Duffy                  
28122839, Wnt , Malachi Fagan-Walcott        , 11/3/2002 (20 years old)  , ENG , English Premier Division                          , Tottenham              , England (Premier Division)            , Right Only     , Very Strong   , Weak          , D (C)                            , 190 cm , 84 kg  ,20, 鈧?0K - 鈧?75K    ," 鈧?0,000 p/m    ",2, -      ,      ,0, -        , Physical     , -                          , Central Defender        , Defend    , D (C)    ,17,2,6,11,9,12,11,1,2,9,9,5,3,8,4,4,3,6,11,8,3,1,11,16,2,8,8,5,10,14,9,3,17,9,4,11,3,4,3,12,13,13,12,10,3,9,15, Malachi Fagan-Walcott        
6601602,     , Moussa Djénépo               , 15/6/1998 (24 years old)  , MLI , English Premier Division                          , Southampton            , England (Premier Division)            , Right          , Very Strong   , Reasonable    , M/AM (RL)                        , 177 cm , 66 kg  ,24, 鈧?.2M - 鈧?0.5M  ," 鈧?51,000 p/m   ",106,12, Main ,29, -        , Physical     , -                          , Inverted Winger         , Support   , AM (L)   ,16,2,10,14,8,15,14,3,2,10,11,10,11,10,14,15,3,7,12,12,8,2,8,9,2,7,8,7,8,8,12,1,16,12,7,5,2,1,1,14,12,5,12,13,3,8,13, Moussa Djenepo               
28117372,     , Nathan Collins               , 30/4/2001 (21 years old)  , IRL , English Premier Division                          , Wolves                 , England (Premier Division)            , Right          , Very Strong   , Weak          , D (C)                            , 196 cm , 89 kg  ,21, 鈧?1M - 鈧?6M     ," 鈧?51,000 p/m   ",58,4, Main ,6,4, Intelligent  , -                          , Central Defender        , Defend    , D (C)    ,13,4,13,11,14,12,17,2,1,15,14,4,6,13,14,9,1,3,11,4,5,3,15,15,1,13,4,6,14,15,3,2,14,11,5,14,1,2,2,14,14,15,15,11,3,10,15, Nathan Collins               
67037306,     , Joel Robles                  , 17/6/1990 (32 years old)  , ESP , English Premier Division                          , Leeds                  , England (Premier Division)            , Right          , Very Strong   , Reasonable    , GK                               , 197 cm , 95 kg  ,32, 鈧?50K - 鈧?M     ," 鈧?98,000 p/m   ",183, -      ,      ,0,2, Distributor  , -                          , Goalkeeper              , Defend    , GK       ,10,16,5,13,9,15,10,16,12,9,10,4,3,9,12,3,8,1,9,2,8,15,9,14,15,10,3,1,3,10,10,15,8,10,1,11,11,15,12,10,14,2,10,10,14,12,7, Joel Robles                  
28100360,     , Sean Longstaff               , 30/10/1997 (24 years old) , ENG , English Premier Division                          , Newcastle              , England (Premier Division)            , Right          , Very Strong   , Weak          ," DM, M (C)                        ", 180 cm , 65 kg  ,24, 鈧?.2M - 鈧?1M    ," 鈧?51,000 p/m   ",136,14,      ,0, -        , Leader       , -                          , Box To Box Midfielder   , Support   , M (C)    ,11,1,11,11,13,13,15,2,1,14,12,11,11,12,17,13,3,13,14,11,11,3,10,11,3,10,13,1,11,11,14,1,12,13,5,13,2,1,3,15,12,14,16,13,3,13,16, Sean Longstaff               
93033389, Wnt , Saman Ghoddos                , 6/9/1993 (28 years old)   , IRN , English Premier Division                          , Brentford              , England (Premier Division)            , Right          , Very Strong   , Weak          , AM (RLC)                         , 176 cm , 75 kg  ,28, 鈧?.7M           ," 鈧?51,000 p/m   ",260,55, Main ,31, -        , Creative     , -                          , Inverted Winger         , Support   , AM (L)   ,14,3,11,13,12,13,10,2,2,14,13,13,13,12,13,14,1,12,14,13,15,2,7,8,3,5,14,5,6,11,13,1,13,13,12,8,1,1,1,12,12,6,12,14,1,13,11, Saman Ghoddos                
29189400,     , Brennan Johnson              , 23/5/2001 (21 years old)  , WAL , English Premier Division                          , Nottm Forest           , England (Premier Division)            , Right          , Very Strong   , Reasonable    ," AM (RC), ST (C)                  ", 180 cm , 72 kg  ,21, 鈧?9M - 鈧?9M     ," 鈧?01,000 p/m   ",90,26, Main ,13,4, Technical    , -                          , Winger                  , Support   , AM (R)   ,16,1,6,13,11,12,12,1,1,13,10,8,13,13,12,14,3,13,12,13,11,1,8,8,1,10,10,5,7,14,13,1,15,14,14,8,2,3,1,13,9,6,12,13,3,12,13, Brennan Johnson              
92102718,     , Armel Bella-Kotchap          , 11/12/2001 (20 years old) , GER , English Premier Division                          , Southampton            , England (Premier Division)            , Right          , Very Strong   , Fairly Strong , D (C)                            , 190 cm , 87 kg  ,20, 鈧?1M - 鈧?2M     ," 鈧?01,000 p/m   ",66,1,      ,0,9, Physical     , -                          , Ball Playing Defender   , Defend    , D (C)    ,14,2,10,11,13,14,13,1,3,10,11,4,7,11,12,10,3,6,12,9,5,2,13,16,3,9,7,9,13,13,6,3,15,13,7,14,3,3,1,11,15,13,12,12,2,10,12, Armel Bella-Kotchap          
28116003,     , Nathan Ferguson              , 6/10/2000 (21 years old)  , ENG , English Premier Division                          , Crystal Palace         , England (Premier Division)            , Right          , Very Strong   , Fairly Strong , D (RLC)                          , 178 cm , 80 kg  ,21, 鈧?.6M - 鈧?.2M   ," 鈧?51,000 p/m   ",22,1,      ,0, -        , Technical    , -                          , No-Nonsense Full-Back   , Defend    , D (R)    ,13,1,11,12,13,13,12,3,1,10,12,7,10,11,12,12,2,6,12,9,4,1,12,11,3,8,8,8,13,8,11,2,12,11,9,13,2,3,1,12,14,14,12,12,3,9,11, Nathan Ferguson              
29058892, Inj , Danny Ward                   , 22/6/1993 (29 years old)  , WAL , English Premier Division                          , Leicester              , England (Premier Division)            , Right          , Very Strong   , Weak          , GK                               , 193 cm , 88 kg  ,29, 鈧?00K - 鈧?.8M   ," 鈧?76,000 p/m   ",73, -      , Main ,26,6, Assertive    , -                          , Sweeper Keeper          , Defend    , GK       ,12,13,12,12,13,12,13,14,13,13,13,5,2,12,14,2,6,2,10,2,9,14,2,12,13,10,2,3,2,13,3,11,11,11,1,12,9,13,13,13,13,1,12,10,13,11,11, Danny Ward                   
29158244,     , Lloyd Kelly                  , 1/10/1998 (23 years old)  , ENG , English Premier Division                          , Bournemouth            , England (Premier Division)            , Left           , Reasonable    , Very Strong   , D (LC)                           , 191 cm , 86 kg  ,23, 鈧?6M - 鈧?4M     ," 鈧?76,000 p/m   ",128,4,      ,0,10, Technical    , -                          , Full-Back               , Defend    , D (L)    ,13,1,10,13,13,14,12,4,2,14,11,7,12,14,13,10,2,6,11,6,5,3,13,14,1,13,6,12,14,11,9,1,14,13,7,13,2,3,2,14,13,14,13,12,1,9,13, Lloyd Kelly                  
28029911, Wnt , Paul Dummett                 , 26/9/1991 (30 years old)  , WAL , English Premier Division                          , Newcastle              , England (Premier Division)            , Left           , Weak          , Very Strong   , D (LC)                           , 183 cm , 82 kg  ,30, 鈧?.6M           ," 鈧?01,000 p/m   ",231,5,      ,5,4, Leader       , -                          , Full-Back               , Support   , D (L)    ,14,2,15,11,14,12,15,3,3,11,14,10,12,12,12,10,3,5,11,6,10,1,14,12,2,12,5,6,13,11,12,1,13,10,3,14,2,1,2,15,13,15,17,10,2,8,15, Paul Dummett                 
28115834, Inj , Brandon Williams             , 3/9/2000 (21 years old)   , ENG , English Premier Division                          , Man UFC                , England (Premier Division)            , Right          , Very Strong   , Fairly Strong ," D (RL), WB (L)                   ", 182 cm , 63 kg  ,21, 鈧?5M - 鈧?2M     ," 鈧?51,000 p/m   ",47,1,      ,0,1, Leader       , -                          , Wing-Back               , Defend    , D (R)    ,16,1,15,14,12,14,17,2,2,11,10,4,12,10,17,12,3,10,13,11,2,2,9,9,1,10,6,7,12,15,12,3,15,13,6,10,2,1,3,14,10,14,14,12,2,6,15, Brandon Williams             
29071914,     , Jack Stephens                , 27/1/1994 (28 years old)  , ENG , English Premier Division                          , Bournemouth            , England (Premier Division)            , Right          , Very Strong   , Reasonable    ," D (C), DM                        ", 185 cm , 84 kg  ,28, 鈧?.2M - 鈧?2.5M  ," 鈧?26,000 p/m   ",189,5,      ,0,8, Technical    , -                          , Ball Playing Defender   , Defend    , D (C)    ,11,3,13,11,14,11,14,2,4,14,13,9,10,12,14,11,1,7,13,11,10,2,14,14,2,14,8,10,14,13,10,2,11,13,9,13,1,1,3,13,14,14,13,13,1,12,12, Jack Stephens                
5006568,     , Wayne Hennessey              , 24/1/1987 (35 years old)  , WAL , English Premier Division                          , Nottm Forest           , England (Premier Division)            , Right          , Very Strong   , Fairly Strong , GK                               , 196 cm , 90 kg  ,35, 鈧?50K - 鈧?.5M   ," 鈧?01,000 p/m   ",322, -      , Main ,104,6, Distributor  , Damaged cruciate ligaments , Sweeper Keeper          , Defend    , GK       ,10,14,12,13,13,12,12,8,11,9,12,4,1,11,13,2,4,1,7,1,6,10,2,16,13,7,2,1,2,11,6,15,11,14,1,12,16,13,14,10,15,1,11,6,13,6,10, Wayne Hennessey              
