 UID        , Inf , Name                               , DoB                       , Nat , Division                                      , Club                         , Based                               , Preferred Foot , Right Foot    , Left Foot     , Position                        , Height , Weight , Age , Transfer Value  , Wage           , AT Apps , AT Gls , Team , Caps , Yth Apps , Style        , Rc Injury                  , Best Role               , Best Duty , Best Pos , Acc , Aer , Agg , Agi , Ant , Bal , Bra , Cmd , Com , Cmp , Cnt , Cor , Cro , Dec , Det , Dri , Ecc , Fin , Fir , Fla , Fre , Han , Hea , Jum , Kic , Ldr , Lon , L Th , Mar , Nat .1, OtB , 1v1 , Pac , Pas , Pen , Pos , Pun , Ref , TRO , Sta , Str , Tck , Tea , Tec , Thr , Vis , Wor 
28121463, Wnt , Ben Knight                   , 14/6/2002 (20 years old)  , ENG , English Premier Division                          , Man City               , England (Premier Division)            , Left Only      , Weak          , Very Strong   , AM (RLC)                         , 171 cm , 63 kg  ,20, 鈧?0K - 鈧?10K    ," 鈧?0,000 p/m    ",6, -      ,      ,0, -        , Technical    , -                          , Inside Forward          , Attack    , AM (R)   ,13,4,11,14,12,13,10,1,3,10,10,9,13,8,14,12,3,12,15,13,9,3,10,5,2,7,7,9,9,16,13,2,15,11,7,8,3,3,2,10,4,8,10,13,3,8,11
2000047231, Wnt , James Sweet                  , 3/11/2003 (18 years old)  , WAL , English Premier Division                          , Arsenal                , England (Premier Division)            , Either         , Very Strong   , Strong        ," D/WB (R), DM, M (RC)             ", 178 cm , 71 kg  ,18, 鈧?75K - 鈧?.8M   ," 鈧?,500 p/m     ", -       , -      ,      ,0, -        , Technical    , -                          , Wing-Back               , Attack    , D (R)    ,12,3,8,12,9,9,11,1,3,9,8,7,10,7,13,9,3,7,11,11,3,3,7,8,1,7,7,10,8,12,8,4,11,12,7,8,2,2,2,10,7,9,13,12,1,13,13
2000018177, Loa , Charlie Webster              , 31/1/2004 (18 years old)  , ENG , English Premier Division                          , Chelsea                , England (Premier Division)            , Right          , Very Strong   , Fairly Strong ," DM, M/AM (C)                     ", 177 cm , 67 kg  ,18, 鈧?0.5M - 鈧?2.5M ," 鈧?5,000 p/m    ", -       , -      ,      ,0, -        , Technical    , -                          , Mezzala                 , Support   , M (C)    ,13,2,6,10,9,9,5,1,1,12,8,10,9,11,2,10,2,8,12,11,13,4,6,8,3,12,10,9,7,9,8,2,12,13,13,8,3,3,2,10,8,7,10,13,1,12,12
52098181, Wnt , James Furlong                , 7/6/2002 (20 years old)   , IRL , English Premier Division                          , Brighton               , England (Premier Division)            , Left           , Weak          , Very Strong   , D/WB (L)                         , 178 cm , 71 kg  ,20, 鈧?50K - 鈧?25K   ," 鈧?5,000 p/m    ",1, -      ,      ,0, -        , Intelligent  , -                          , Wing-Back               , Defend    , D (L)    ,10,3,5,10,8,6,11,1,1,11,11,6,10,16,11,10,4,2,11,5,1,2,11,11,3,1,9,10,10,8,10,2,10,8,6,12,1,1,3,16,7,12,15,11,2,10,15
29233355, Wnt , Luke Matheson                , 3/10/2002 (19 years old)  , ENG , English Premier Division                          , Wolves                 , England (Premier Division)            , Right Only     , Very Strong   , Weak          , D/WB (R)                         , 168 cm , 62 kg  ,19, 鈧?4K - 鈧?40K    ," 鈧?5,000 p/m    ",47,1,      ,0, -        , Technical    , -                          , Wing-Back               , Attack    , D (R)    ,13,3,2,13,9,12,8,3,1,10,11,9,11,10,13,9,2,6,12,10,6,2,7,7,1,3,5,14,8,16,11,2,13,9,4,9,3,1,3,13,5,11,12,12,1,9,12
2000139648,     , Lino Sousa                   , 19/1/2005 (17 years old)  , ENG , English Premier Division                          , Arsenal                , England (Premier Division)            , Left           , Reasonable    , Very Strong   , D/WB/M (L)                       , 179 cm , 69 kg  ,17, 鈧?25K - 鈧?.4M   ," 鈧?,000 p/m     ", -       , -      ,      ,0, -        , Physical     , -                          , Complete Wing-Back      , Support   , D (L)    ,13,1,8,12,10,11,9,3,3,12,9,8,9,10,12,11,1,7,12,12,5,1,9,9,1,7,8,7,8,17,11,3,12,11,6,9,1,4,2,10,8,10,12,12,1,10,12
2000141316,     , Luke Harris                  , 3/4/2005 (17 years old)   , WAL , English Premier Division                          , Fulham                 , England (Premier Division)            , Right          , Very Strong   , Reasonable    , M/AM (C)                         , 179 cm , 72 kg  ,17, 鈧?.2M - 鈧?1M    ," 鈧?0,000 p/m    ", -       , -      ,      ,0, -        , Creative     , -                          , Shadow Striker          , Attack    , AM (C)   ,15,2,5,7,10,11,9,3,1,10,11,12,11,10,15,12,2,14,8,12,10,1,5,9,2,10,14,4,8,11,11,2,12,13,9,6,3,1,3,11,10,8,10,10,3,10,12
48042518, Inj , Thanawat Suengchitthawon     , 8/1/2000 (22 years old)   , THA , English Premier Division                          , Leicester              , England (Premier Division)            , Right          , Very Strong   , Weak          , M/AM (C)                         , 170 cm , 68 kg  ,22, 鈧? - 鈧?0K       ," 鈧?,500 p/m     ", -       , -      , U23  ,9, -        , Creative     , -                          , Advanced Playmaker      , Support   , AM (C)   ,10,3,11,11,10,11,13,3,1,12,12,11,10,10,3,12,1,8,12,14,12,2,8,10,3,13,10,12,8,11,12,2,11,12,12,8,3,1,2,12,8,5,12,13,4,13,12
28115923, Wnt , Oludare Olufunwa             , 29/7/2001 (20 years old)  , NGA , English Premier Division                          , Liverpool              , England (Premier Division)            , Right Only     , Very Strong   , Weak          , D (RC)                           , 186 cm , 82 kg  ,20, 鈧?5K - 鈧?25K    ," 鈧?2,500 p/m    ", -       , -      ,      ,0, -        , Physical     , -                          , Wing-Back               , Defend    , D (R)    ,14,2,12,10,9,10,11,1,1,9,9,5,8,11,12,7,1,7,10,7,7,2,13,13,2,8,7,12,10,13,9,3,13,10,6,12,3,2,3,13,10,11,12,10,1,7,12
28122326, Wnt , Keenan Appiah-Forson         , 16/10/2001 (20 years old) , ENG , English Premier Division                          , West Ham               , England (Premier Division)            , Right          , Very Strong   , Weak          ," DM, M (C)                        ", 172 cm , 70 kg  ,20, 鈧?.2M - 鈧?.4M   ," 鈧?0,000 p/m    ", -       , -      ,      ,0, -        , Leader       , -                          , Ball Winning Midfielder , Support   , M (C)    ,12,1,15,12,12,10,14,3,1,12,12,9,6,10,11,6,3,10,11,5,10,2,10,4,3,12,10,7,12,10,10,4,11,12,8,9,3,1,3,10,8,12,12,16,4,14,15
28122327, Wnt , Harrison Ashby               , 14/11/2001 (20 years old) , SCO , English Premier Division                          , West Ham               , England (Premier Division)            , Right          , Very Strong   , Reasonable    , D/WB (R)                         , 179 cm , 72 kg  ,20, 鈧?5K - 鈧?50K    ," 鈧?,800 p/m     ",1, -      ,      ,0,4, Technical    , -                          , Full-Back               , Defend    , D (R)    ,12,1,14,10,12,10,12,2,1,13,13,9,11,11,12,10,2,11,11,5,6,1,10,11,4,14,11,9,12,13,10,2,12,13,8,12,3,1,1,11,12,13,11,13,3,11,13
2000010105, Loa , Joel Ideho                   , 17/7/2003 (18 years old)  , NED , English Premier Division                          , Arsenal                , England (Premier Division)            , Right          , Very Strong   , Weak          ," AM (RLC), ST (C)                 ", 170 cm , 65 kg  ,18, 鈧?.8M - 鈧?.4M   ," 鈧?,000 p/m     ", -       , -      ,      ,0, -        , Physical     , -                          , Inverted Winger         , Support   , AM (L)   ,14,1,5,12,8,12,9,3,2,10,7,9,11,7,2,11,1,10,8,12,10,1,6,8,2,6,11,6,4,15,9,1,13,10,4,6,1,3,2,10,8,5,10,13,1,9,12
28115829, Wnt , Di'Shon Bernard              , 14/10/2000 (21 years old) , ENG , English Premier Division                          , Man UFC                , England (Premier Division)            , Right          , Very Strong   , Reasonable    , D (RC)                           , 189 cm , 76 kg  ,21, 鈧?50K - 鈧?.1M   ," 鈧?2,500 p/m    ",56,2,      ,0, -        , Physical     , -                          , Wing-Back               , Defend    , D (R)    ,14,1,13,12,10,12,12,1,3,11,9,4,8,10,13,10,1,4,11,4,4,1,11,14,1,9,6,9,11,16,6,3,14,12,5,12,3,1,1,13,13,13,12,11,3,10,14
28128054, Wnt , Dylan Stephenson             , 10/12/2002 (19 years old) , ENG , English Premier Division                          , Newcastle              , England (Premier Division)            , Right          , Very Strong   , Reasonable    ," AM (RLC), ST (C)                 ", 188 cm , 79 kg  ,19, 鈧?10K - 鈧?.1M   ," 鈧?,500 p/m     ", -       , -      ,      ,0, -        , Technical    , -                          , Winger                  , Attack    , AM (R)   ,14,1,11,7,8,8,10,3,3,10,7,10,12,7,17,10,3,12,15,11,9,1,10,11,3,14,10,7,9,15,11,2,14,7,8,8,1,1,2,8,10,10,7,13,2,6,8
29177909, Loa , Billy Crellin                , 30/6/2000 (21 years old)  , ENG , English Premier Division                          , Everton                , England (Premier Division)            , Right          , Very Strong   , Reasonable    , GK                               , 186 cm , 73 kg  ,21, 鈧?M - 鈧?.2M     ," 鈧?0,000 p/m    ",32, -      ,      ,0, -        , Distributor  , -                          , Goalkeeper              , Defend    , GK       ,10,11,8,12,10,10,8,10,10,10,8,4,1,8,6,1,9,3,10,2,6,10,7,14,12,15,1,3,2,13,2,10,10,9,3,11,10,11,7,6,9,3,6,10,11,9,9
28124741, Wnt , John-Kymani Gordon           , 13/2/2003 (19 years old)  , ENG , English Premier Division                          , Crystal Palace         , England (Premier Division)            , Right          , Very Strong   , Fairly Strong ," AM (L), ST (C)                   ", 178 cm , 72 kg  ,19, 鈧?.1M - 鈧?.3M   ," 鈧?,500 p/m     ", -       , -      ,      ,0, -        , Physical     , -                          , Inside Forward          , Attack    , AM (L)   ,14,4,8,13,8,12,7,3,1,9,8,7,8,8,12,13,3,11,11,15,8,3,6,9,1,6,9,5,6,11,11,3,14,9,10,6,1,2,2,11,8,6,9,10,3,8,10
29086125,     , Jordan Smith                 , 8/12/1994 (27 years old)  , ENG , English Premier Division                          , Nottm Forest           , England (Premier Division)            , Either         , Strong        , Very Strong   , GK                               , 185 cm , 75 kg  ,27, 鈧?10K - 鈧?25K   ," 鈧?2,500 p/m    ",148, -      ,      ,0, -        , Shot Stopper , -                          , Sweeper Keeper          , Defend    , GK       ,9,13,8,11,13,7,11,12,9,11,12,3,1,12,11,3,9,3,7,5,7,12,6,13,11,10,3,3,3,14,11,11,11,10,2,11,6,13,11,10,10,3,10,12,10,9,12
2000123626,     , Daniel Gore                  , 26/9/2004 (17 years old)  , ENG , English Premier Division                          , Man UFC                , England (Premier Division)            , Right          , Very Strong   , Fairly Strong ," DM, M (C)                        ", 170 cm , 62 kg  ,17, 鈧?.9M - 鈧?.4M   ," 鈧?,000 p/m     ", -       , -      , U19  ,0, -        , Technical    , -                          , Advanced Playmaker      , Support   , M (C)    ,12,1,7,13,9,10,8,3,2,11,10,6,8,9,11,10,3,9,12,10,7,2,2,4,3,5,7,2,5,15,10,2,11,13,5,7,2,4,3,11,6,8,12,13,1,11,11
2000123586,     , Kobbie Mainoo                , 19/4/2005 (17 years old)  , ENG , English Premier Division                          , Man UFC                , England (Premier Division)            , Right          , Very Strong   , Reasonable    ," DM, M (C)                        ", 180 cm , 66 kg  ,17, 鈧?.2M - 鈧?2M    ," 鈧?,000 p/m     ", -       , -      ,      ,0, -        , Technical    , -                          , Mezzala                 , Support   , M (C)    ,14,1,14,13,10,11,10,1,2,13,12,7,8,11,7,12,3,7,14,10,5,2,4,8,4,6,5,4,8,13,11,4,13,13,8,10,2,3,1,12,10,10,12,14,2,10,12
29233147, Loa , Ollie O'Neill                , 8/1/2003 (19 years old)   , IRL , English Premier Division                          , Fulham                 , England (Premier Division)            , Right          , Very Strong   , Fairly Strong , M (C)                            , 184 cm , 69 kg  ,19, 鈧?5K - 鈧?50K    ," 鈧?,500 p/m     ", -       , -      ,      ,0,4, Technical    , -                          , Central Midfielder      , Support   , M (C)    ,14,1,14,11,11,6,8,3,2,14,8,8,10,10,4,7,2,11,14,9,7,1,6,6,1,11,6,2,8,17,7,2,13,11,4,6,2,2,1,8,6,12,13,13,3,12,11
29233144, Wnt , Adrion Pajaziti              , 16/11/2002 (19 years old) , KOS , English Premier Division                          , Fulham                 , England (Premier Division)            , Right          , Very Strong   , Reasonable    , M/AM (C)                         , 178 cm , 71 kg  ,19, 鈧?90K - 鈧?.9M   ," 鈧?,500 p/m     ", -       , -      , U21  ,0,3, Physical     , -                          , Box To Box Midfielder   , Support   , M (C)    ,11,3,15,9,7,15,10,3,2,11,11,9,10,13,12,9,1,14,9,10,9,1,3,9,2,1,11,1,10,14,12,2,11,14,6,11,2,3,2,11,9,12,14,11,1,13,14
52101506, Wnt , Val Adedokun                 , 14/2/2003 (19 years old)  , IRL , English Premier Division                          , Brentford              , England (Premier Division)            , Left Only      , Very Weak     , Very Strong   , D/WB/M/AM (L)                    , 178 cm , 68 kg  ,19, 鈧?0K - 鈧?00K    ," 鈧?,500 p/m     ",7, -      ,      ,0, -        , Technical    , -                          , Winger                  , Support   , AM (L)   ,13,2,9,12,11,12,11,1,1,10,7,10,11,9,13,12,1,8,12,12,6,1,8,8,3,5,9,3,5,11,11,1,13,12,5,8,2,2,2,10,8,8,11,12,2,10,12
2000009022,     , Mauro Bandeira               , 18/11/2003 (18 years old) , POR , English Premier Division                          , Arsenal                , England (Premier Division)            , Right          , Very Strong   , Reasonable    ," DM, M/AM (C)                     ", 182 cm , 76 kg  ,18, 鈧?20K - 鈧?.2M   ," 鈧?,500 p/m     ", -       , -      ,      ,0, -        , Technical    , -                          , Shadow Striker          , Attack    , AM (C)   ,11,1,7,7,9,8,9,3,2,11,11,9,9,7,13,14,3,11,15,15,9,1,9,8,3,7,12,5,5,10,12,1,11,10,6,11,3,2,2,9,9,9,12,10,2,11,13
2000009057, Wnt , Carlos Borges                , 19/3/2004 (18 years old)  , POR , English Premier Division                          , Man City               , England (Premier Division)            , Left           , Reasonable    , Very Strong   , AM (RL)                          , 179 cm , 68 kg  ,18, 鈧?50K - 鈧?.7M   ," 鈧?5,000 p/m    ", -       , -      ,      ,0, -        , Technical    , -                          , Inverted Winger         , Attack    , AM (R)   ,16,3,7,14,8,14,5,2,1,8,8,8,10,7,7,14,2,6,13,13,6,2,8,7,1,10,10,4,4,8,9,3,17,10,4,7,2,2,1,4,4,7,9,14,1,10,9
61094109, Wnt , Dire Mebude                  , 28/5/2004 (18 years old)  , SCO , English Premier Division                          , Man City               , England (Premier Division)            , Right          , Very Strong   , Fairly Strong ," AM (R), ST (C)                   ", 179 cm , 68 kg  ,18, 鈧?25K - 鈧?50K   ," 鈧?5,000 p/m    ", -       , -      ,      ,0, -        , Technical    , -                          , Winger                  , Attack    , AM (R)   ,16,2,13,13,3,8,9,3,3,3,6,6,12,10,17,13,1,9,13,15,7,2,9,7,3,5,6,3,7,12,11,3,15,7,4,6,1,3,2,4,3,6,11,10,3,5,9
2000013231, Wnt , Charlie McNeill              , 9/9/2003 (18 years old)   , ENG , English Premier Division                          , Man UFC                , England (Premier Division)            , Either         , Very Strong   , Strong        , ST (C)                           , 182 cm , 70 kg  ,18, 鈧?M - 鈧?.8M     ," 鈧?2,500 p/m    ", -       , -      , U19  ,0, -        , Technical    , -                          , Poacher                 , Attack    , ST (C)   ,13,2,12,9,11,8,9,4,3,13,8,4,10,8,17,8,2,15,12,14,7,2,5,9,2,4,6,1,1,13,11,2,12,12,9,2,3,1,1,9,8,2,10,13,3,8,10
2000017219,     , Darko Gyabi                  , 18/2/2004 (18 years old)  , ENG , English Premier Division                          , Leeds                  , England (Premier Division)            , Right          , Very Strong   , Fairly Strong , M/AM (C)                         , 195 cm , 76 kg  ,18, 鈧?.2M - 鈧?.8M   ," 鈧?5,000 p/m    ", -       , -      ,      ,0, -        , Leader       , -                          , Mezzala                 , Support   , M (C)    ,14,2,15,11,8,14,6,2,2,11,9,6,8,14,15,10,3,7,7,11,8,2,3,14,1,9,6,8,7,17,11,1,13,14,5,9,2,4,3,6,6,13,13,12,3,8,8
29218613, Wnt , Alex Gilbert                 , 28/12/2001 (20 years old) , IRL , English Premier Division                          , Brentford              , England (Premier Division)            , Left Only      , Weak          , Very Strong   ," AM (L), ST (C)                   ", 183 cm , 77 kg  ,20, 鈧?0K - 鈧?75K    ," 鈧?0,000 p/m    ",12, -      ,      ,0,6, Physical     , -                          , Winger                  , Support   , AM (L)   ,12,3,11,12,9,10,11,2,2,11,10,10,11,9,13,11,3,10,11,13,7,3,9,11,2,6,10,6,4,13,11,1,12,10,10,5,2,2,2,13,9,6,12,11,2,11,13
2000018180, Wnt , Jimi Tauriainen              , 8/3/2004 (18 years old)   , FIN , English Premier Division                          , Chelsea                , England (Premier Division)            , Left           , Reasonable    , Very Strong   ," DM, M/AM (C)                     ", 186 cm , 69 kg  ,18, 鈧?0K - 鈧?00K    ," 鈧?2,500 p/m    ", -       , -      ,      ,0, -        , Physical     , -                          , Shadow Striker          , Attack    , AM (C)   ,14,4,14,9,11,10,9,2,2,10,10,10,9,8,18,9,1,10,9,9,12,1,5,12,1,3,12,8,6,17,8,2,14,8,5,7,1,3,2,12,8,8,8,11,2,9,10
29218210, Wnt , Nico Jones                   , 3/2/2002 (20 years old)   , IRL , English Premier Division                          , Brentford              , England (Premier Division)            , Left           , Weak          , Very Strong   , D (C)                            , 191 cm , 84 kg  ,20, 鈧?5K - 鈧?50K    ," 鈧?0,000 p/m    ",7, -      , U21  ,0, -        , Physical     , -                          , Central Defender        , Defend    , D (C)    ,11,1,12,9,10,10,13,2,2,10,11,5,6,10,12,7,3,6,10,5,7,3,11,15,3,11,5,9,11,12,6,2,11,10,5,11,2,3,2,11,11,11,9,10,1,9,12
2000025569, Wnt , Joe Hugill                   , 19/10/2003 (18 years old) , ENG , English Premier Division                          , Man UFC                , England (Premier Division)            , Right          , Very Strong   , Reasonable    , ST (C)                           , 190 cm , 72 kg  ,18, 鈧?00K - 鈧?.5M   ," 鈧?,500 p/m     ", -       , -      ,      ,0, -        , Intelligent  , -                          , Poacher                 , Attack    , ST (C)   ,11,2,9,9,13,9,9,2,2,12,9,4,6,8,4,8,3,14,12,8,4,3,9,14,3,3,10,4,2,6,13,2,13,8,9,2,2,1,3,11,10,3,14,12,1,6,13
2000108694, Yth , Leo Castledine               , 20/8/2005 (16 years old)  , ENG , English Premier Division                          , Chelsea                , England (Premier Division)            , Right          , Very Strong   , Reasonable    ," M (C), AM (RLC)                  ", 180 cm , 67 kg  ,16, 鈧?0.5M - 鈧?5.5M , 鈧?75 p/m       , -       , -      , U19  ,0, -        , Leader       , -                          , Ball Winning Midfielder , Defend    , M (C)    ,13,1,12,8,11,10,13,3,3,8,6,11,10,8,5,9,2,12,10,7,15,1,9,8,3,10,13,4,6,14,11,3,12,8,5,8,1,1,2,10,8,10,14,10,2,8,15
37084979, Wnt , Dani van den Heuvel          , 28/5/2003 (19 years old)  , NED , English Premier Division                          , Leeds                  , England (Premier Division)            , Right          , Very Strong   , Reasonable    , GK                               , 184 cm , 80 kg  ,19, 鈧?4K - 鈧?50K    ," 鈧?0,000 p/m    ", -       , -      ,      ,0, -        , Shot Stopper , -                          , Goalkeeper              , Defend    , GK       ,7,13,4,14,9,11,10,10,8,9,8,4,1,9,10,3,8,2,8,1,5,12,4,12,10,2,2,2,2,12,3,12,7,9,3,12,8,14,7,10,11,2,8,8,9,7,8
2000108513,     , Mateo Joseph                 , 19/10/2003 (18 years old) , ESP , English Premier Division                          , Leeds                  , England (Premier Division)            , Right          , Very Strong   , Reasonable    , ST (C)                           , 175 cm , 68 kg  ,18, 鈧?.4M - 鈧?.8M   ," 鈧?,500 p/m     ", -       , -      ,      ,0, -        , Intelligent  , -                          , Poacher                 , Attack    , ST (C)   ,12,3,8,13,12,12,8,2,2,12,7,10,8,8,11,10,3,13,11,13,9,3,8,8,2,1,9,3,3,11,13,1,13,7,9,6,3,2,2,12,7,4,10,12,1,8,9
29210513, Wnt , Matthew Bondswell            , 1/5/2002 (20 years old)   , ENG , English Premier Division                          , Newcastle              , England (Premier Division)            , Left           , Reasonable    , Very Strong   , D (LC)                           , 185 cm , 79 kg  ,20, 鈧?75K - 鈧?00K   ," 鈧?,000 p/m     ",6, -      ,      ,0, -        , Leader       , -                          , Wing-Back               , Defend    , D (L)    ,12,3,6,13,11,10,11,1,2,10,10,4,10,11,13,10,2,5,9,9,4,2,10,9,2,9,3,4,12,10,10,1,13,9,3,11,1,1,1,13,10,12,13,11,3,10,14
48050286, Wnt , Tristan Crama                , 8/11/2001 (20 years old)  , FRA , English Premier Division                          , Brentford              , England (Premier Division)            , Right Only     , Very Strong   , Weak          , D (C)                            , 192 cm , 78 kg  ,20, 鈧?00K - 鈧?M     ," 鈧?2,500 p/m    ",5, -      ,      ,0, -        , Physical     , -                          , Central Defender        , Defend    , D (C)    ,10,2,12,11,10,11,11,2,2,10,11,4,6,11,12,8,2,7,11,3,6,3,13,16,1,9,5,7,11,12,6,1,11,10,5,11,1,2,2,12,13,11,11,10,1,10,12
29176912,     , Nathan Bishop                , 15/10/1999 (22 years old) , ENG , English Premier Division                          , Man UFC                , England (Premier Division)            , Right          , Very Strong   , Weak          , GK                               , 185 cm , 72 kg  ,22, 鈧? - 鈧?0K       ," 鈧?5,000 p/m    ",77, -      ,      ,0, -        , Shot Stopper , -                          , Sweeper Keeper          , Defend    , GK       ,12,10,11,14,12,11,12,9,11,8,11,4,2,11,12,2,5,3,9,1,8,11,4,12,9,10,1,1,1,16,11,12,12,6,3,11,5,13,10,10,10,2,12,8,10,3,6
28106884,     , Brandon Austin               , 8/1/1999 (23 years old)   , ENG , English Premier Division                          , Tottenham              , England (Premier Division)            , Right          , Very Strong   , Reasonable    , GK                               , 188 cm , 83 kg  ,23, 鈧? - 鈧?0K       ," 鈧?0,000 p/m    ",19, -      ,      ,0, -        , Shot Stopper , -                          , Goalkeeper              , Defend    , GK       ,11,11,12,12,12,10,11,10,11,7,13,3,1,15,17,2,5,3,1,2,7,8,1,14,12,10,1,1,3,14,3,10,12,6,2,11,7,13,7,3,13,3,10,6,9,9,7
28116484, Wnt , Jamie Bowden                 , 9/7/2001 (20 years old)   , ENG , English Premier Division                          , Tottenham              , England (Premier Division)            , Right          , Very Strong   , Weak          ," DM, M (C)                        ", 175 cm , 64 kg  ,20, 鈧?30K - 鈧?.3M   ," 鈧?,500 p/m     ",24,1,      ,0, -        , Physical     , -                          , Box To Box Midfielder   , Support   , M (C)    ,11,1,12,12,10,12,12,3,3,14,7,6,6,11,11,9,4,11,10,6,8,3,5,7,3,9,9,10,10,11,11,1,12,12,12,12,3,2,3,12,11,13,15,12,1,12,12
28121309, Wnt , Jack Spong                   , 4/2/2002 (20 years old)   , ENG , English Premier Division                          , Brighton               , England (Premier Division)            , Left           , Reasonable    , Very Strong   ," DM, M (C)                        ", 173 cm , 62 kg  ,20, 鈧?0K - 鈧?75K    ," 鈧?0,000 p/m    ", -       , -      ,      ,0, -        , Physical     , -                          , Box To Box Midfielder   , Support   , M (C)    ,13,2,7,14,8,14,9,2,3,11,10,8,8,8,19,9,1,8,12,5,11,3,10,6,3,6,8,4,7,15,9,3,11,12,4,8,1,2,1,13,6,9,14,12,1,12,13
28121437, Wnt , Jake Cain                    , 2/9/2001 (20 years old)   , ENG , English Premier Division                          , Liverpool              , England (Premier Division)            , Left Only      , Weak          , Very Strong   , M/AM (LC)                        , 176 cm , 69 kg  ,20, 鈧?20K - 鈧?75K   ," 鈧?2,500 p/m    ",25, -      ,      ,0, -        , Technical    , -                          , Winger                  , Attack    , M (L)    ,12,3,9,10,9,10,10,3,3,13,10,10,7,7,12,12,2,7,10,13,13,2,7,8,3,8,10,5,9,13,14,1,12,13,3,8,2,2,2,7,7,9,10,13,3,13,10
2000048044,     , Victor Akinwale              , 6/8/2004 (17 years old)   , ENG , English Premier Division                          , Crystal Palace         , England (Premier Division)            , Right          , Very Strong   , Weak          ," AM (R), ST (C)                   ", 181 cm , 71 kg  ,17, 鈧?20K - 鈧?.2M   ," 鈧?,000 p/m     ", -       , -      ,      ,0, -        , Physical     , -                          , Winger                  , Support   , AM (R)   ,16,2,9,12,8,9,6,4,2,9,8,6,6,8,10,9,3,13,11,8,7,4,9,10,1,8,9,6,5,13,10,2,14,8,12,6,4,2,3,10,8,5,9,10,2,6,10
28122215,     , Kasey McAteer                , 22/11/2001 (20 years old) , ENG , English Premier Division                          , Leicester              , England (Premier Division)            , Right          , Very Strong   , Weak          ," M (C), AM (RLC)                  ", 177 cm , 72 kg  ,20, 鈧?0K - 鈧?00K    ," 鈧?5,000 p/m    ",10, -      ,      ,0, -        , Technical    , -                          , Winger                  , Support   , AM (R)   ,14,2,8,8,9,9,8,1,2,8,10,9,11,8,15,6,1,9,10,11,9,2,8,10,1,1,11,7,10,8,8,1,15,12,6,10,1,3,1,11,8,9,10,8,3,13,12
28122645, Wnt , Ben Cottrell                 , 31/10/2001 (20 years old) , ENG , English Premier Division                          , Arsenal                , England (Premier Division)            , Left           , Reasonable    , Very Strong   ," M (C), AM (RLC)                  ", 166 cm , 57 kg  ,20, 鈧?50K - 鈧?M     ," 鈧?,500 p/m     ", -       , -      ,      ,0, -        , Technical    , -                          , Inverted Winger         , Support   , AM (R)   ,14,1,11,13,9,10,11,1,3,11,7,10,7,8,14,11,3,9,12,13,11,1,4,3,1,4,9,1,4,12,11,1,12,12,11,5,4,2,1,10,5,7,14,12,1,12,14
28126141, Wnt , Nathan Butler-Oyedeji        , 4/1/2003 (19 years old)   , ENG , English Premier Division                          , Arsenal                , England (Premier Division)            , Right Only     , Very Strong   , Weak          ," M (R), AM (RL), ST (C)           ", 177 cm , 68 kg  ,19, 鈧?30K - 鈧?00K   ," 鈧?,500 p/m     ", -       , -      ,      ,0, -        , Physical     , -                          , Winger                  , Support   , AM (R)   ,17,2,12,12,10,6,11,2,3,6,6,10,8,6,2,9,2,9,8,11,10,2,7,7,2,6,10,10,1,5,12,2,16,7,3,4,1,2,1,9,7,4,11,7,2,6,11
28126146, Wnt , Kido Taylor-Hart             , 30/9/2002 (19 years old)  , ENG , English Premier Division                          , Arsenal                , England (Premier Division)            , Right          , Very Strong   , Fairly Strong ," AM (RLC), ST (C)                 ", 179 cm , 67 kg  ,19, 鈧?5K - 鈧?50K    ," 鈧?5,000 p/m    ", -       , -      ,      ,0, -        , Physical     , -                          , Inverted Winger         , Attack    , AM (L)   ,15,1,6,13,6,7,5,1,2,8,5,9,8,7,5,11,2,8,9,14,9,3,7,8,3,5,10,1,4,14,9,1,14,7,3,5,2,3,3,9,7,5,8,12,1,8,9
28126238,     , Joe Hodge                    , 14/9/2002 (19 years old)  , IRL , English Premier Division                          , Wolves                 , England (Premier Division)            , Right Only     , Very Strong   , Weak          ," DM, M (C)                        ", 172 cm , 65 kg  ,19, 鈧?50K - 鈧?.5M   ," 鈧?5,000 p/m    ", -       , -      ,      ,0, -        , Leader       , -                          , Ball Winning Midfielder , Defend    , M (C)    ,12,3,13,10,10,10,15,1,1,10,11,10,8,11,15,8,1,7,11,4,10,1,8,8,3,13,12,8,8,13,6,2,13,12,11,11,4,2,3,14,8,12,12,11,1,11,13
2000048058, Wnt , Joe Whitworth                , 29/2/2004 (18 years old)  , ENG , English Premier Division                          , Crystal Palace         , England (Premier Division)            , Right          , Very Strong   , Weak          , GK                               , 179 cm , 71 kg  ,18, 鈧?90K - 鈧?.9M   ," 鈧?,500 p/m     ", -       , -      ,      ,0, -        , Distributor  , -                          , Sweeper Keeper          , Defend    , GK       ,11,10,10,13,11,10,13,9,11,8,12,3,1,8,15,3,4,1,10,7,7,10,7,10,14,10,1,2,3,16,6,8,10,11,3,9,9,12,12,8,7,2,8,10,10,9,10
